topology,graph_id,num_nodes,num_edges,source,target,graph_image,algorithm,path_cost,path_hops,nodes_visited,edges_relaxed,execution_time_ms,success
line,26,212,211,15,202,graph_images\line\line_graph_26.png,Floyd-Warshall,4743,187,212,4831268,619.322800077498,True
line,27,223,222,74,66,graph_images\line\line_graph_27.png,Dijkstra,215,8,17,32,0.04950002767145634,True
line,27,223,222,74,66,graph_images\line\line_graph_27.png,Bellman-Ford,215,8,222,33300,5.012100096791983,True
line,27,223,222,74,66,graph_images\line\line_graph_27.png,A*,215,8,17,32,0.04630000330507755,True
line,27,223,222,74,66,graph_images\line\line_graph_27.png,BFS (unweighted),215,8,17,30,0.020700041204690933,True
line,27,223,222,74,66,graph_images\line\line_graph_27.png,Bidirectional Dijkstra,215,8,15,30,0.031400006264448166,True
line,27,223,222,74,66,graph_images\line\line_graph_27.png,Floyd-Warshall,215,8,223,5619154,671.7069998849183,True
line,28,181,180,151,81,graph_images\line\line_graph_28.png,Dijkstra,1576,70,100,197,0.1579001545906067,True
line,28,181,180,151,81,graph_images\line\line_graph_28.png,Bellman-Ford,1576,70,180,54720,8.083899971097708,True
line,28,181,180,151,81,graph_images\line\line_graph_28.png,A*,1576,70,100,197,0.19240006804466248,True
line,28,181,180,151,81,graph_images\line\line_graph_28.png,BFS (unweighted),1576,70,100,197,0.07600011304020882,True
line,28,181,180,151,81,graph_images\line\line_graph_28.png,Bidirectional Dijkstra,1576,70,133,265,0.2055999357253313,True
line,28,181,180,151,81,graph_images\line\line_graph_28.png,Floyd-Warshall,1576,70,181,3013831,350.8186999242753,True
line,29,203,202,153,122,graph_images\line\line_graph_29.png,Dijkstra,687,31,59,116,0.12119999155402184,True
line,29,203,202,153,122,graph_images\line\line_graph_29.png,Bellman-Ford,687,31,202,62216,10.242299875244498,True
line,29,203,202,153,122,graph_images\line\line_graph_29.png,A*,687,31,59,116,0.1362001057714224,True
line,29,203,202,153,122,graph_images\line\line_graph_29.png,BFS (unweighted),687,31,63,122,0.05719996988773346,True
line,29,203,202,153,122,graph_images\line\line_graph_29.png,Bidirectional Dijkstra,687,31,59,118,0.12270011939108372,True
line,29,203,202,153,122,graph_images\line\line_graph_29.png,Floyd-Warshall,687,31,203,4244324,499.80989983305335,True
line,30,122,121,112,44,graph_images\line\line_graph_30.png,Dijkstra,1752,68,78,153,0.12229988351464272,True
line,30,122,121,112,44,graph_images\line\line_graph_30.png,Bellman-Ford,1752,68,121,27346,3.6581000313162804,True
line,30,122,121,112,44,graph_images\line\line_graph_30.png,A*,1752,68,78,153,0.1830998808145523,True
line,30,122,121,112,44,graph_images\line\line_graph_30.png,BFS (unweighted),1752,68,78,153,0.07180008105933666,True
line,30,122,121,112,44,graph_images\line\line_graph_30.png,Bidirectional Dijkstra,1752,68,113,225,0.17939996905624866,True
line,30,122,121,112,44,graph_images\line\line_graph_30.png,Floyd-Warshall,1752,68,122,930128,111.5474000107497,True
line,31,230,229,66,185,graph_images\line\line_graph_31.png,Dijkstra,3054,119,186,369,0.313399825245142,True
line,31,230,229,66,185,graph_images\line\line_graph_31.png,Bellman-Ford,3054,119,229,30686,5.104100098833442,True
line,31,230,229,66,185,graph_images\line\line_graph_31.png,A*,3054,119,186,369,0.3200999926775694,True
line,31,230,229,66,185,graph_images\line\line_graph_31.png,BFS (unweighted),3054,119,186,369,0.1927001867443323,True
line,31,230,229,66,185,graph_images\line\line_graph_31.png,Bidirectional Dijkstra,3054,119,220,439,0.38059987127780914,True
line,31,230,229,66,185,graph_images\line\line_graph_31.png,Floyd-Warshall,3054,119,230,6162620,809.0993000660092,True
line,32,113,112,76,67,graph_images\line\line_graph_32.png,Dijkstra,237,9,20,38,0.05669984966516495,True
line,32,113,112,76,67,graph_images\line\line_graph_32.png,Bellman-Ford,237,9,112,17248,2.5962998624891043,True
line,32,113,112,76,67,graph_images\line\line_graph_32.png,A*,237,9,20,38,0.05910010077059269,True
line,32,113,112,76,67,graph_images\line\line_graph_32.png,BFS (unweighted),237,9,19,34,0.03490014933049679,True
line,32,113,112,76,67,graph_images\line\line_graph_32.png,Bidirectional Dijkstra,237,9,16,32,0.04360009916126728,True
line,32,113,112,76,67,graph_images\line\line_graph_32.png,Floyd-Warshall,237,9,113,740489,91.91830013878644,True
line,33,192,191,167,80,graph_images\line\line_graph_33.png,Dijkstra,2031,87,112,221,0.17799995839595795,True
line,33,192,191,167,80,graph_images\line\line_graph_33.png,Bellman-Ford,2031,87,191,64176,9.54490015283227,True
line,33,192,191,167,80,graph_images\line\line_graph_33.png,A*,2031,87,112,221,0.27439999394118786,True
